timestamp,test-class,test-method,time,description,result
"2022-05-31 20:14:25.447","acme.testing.inventor.CHIMPUM.InventorCHIMPUMDeleteTest","positive",16676,""[1] "","OK"
"2022-05-31 20:14:37.072","acme.testing.inventor.CHIMPUM.InventorCHIMPUMDeleteTest","positive",10963,""[2] "","OK"
