timestamp,test-class,test-method,time,description,result
"2022-05-29 18:18:00.175","acme.testing.inventor.CHIMPUM.InventorCHIMPUMDeleteTest","positive",16933,""[1] "","OK"
"2022-05-29 18:18:12.391","acme.testing.inventor.CHIMPUM.InventorCHIMPUMDeleteTest","positive",11573,""[2] "","OK"
