timestamp,simple-path,time
"2022-05-29 18:12:20.416","/master/welcome",7780
"2022-05-29 18:12:21.097","/master/welcome",609
"2022-05-29 18:12:24.417","/master/sign-in",2737
"2022-05-29 18:12:25.778","/master/welcome",619
"2022-05-29 18:12:27.579","/inventor/chimpum/list",1610
"2022-05-29 18:12:29.825","/inventor/chimpum/create",1626
"2022-05-29 18:12:33.026","/inventor/chimpum/list",1121
"2022-05-29 18:12:33.73","/inventor/chimpum/list",564
"2022-05-29 18:12:35.59","/inventor/chimpum/show",615
"2022-05-29 18:12:37.968","/any/artifact/list-published",1269
"2022-05-29 18:12:40.806","/master/welcome",713
"2022-05-29 18:12:41.437","/master/welcome",562
"2022-05-29 18:12:44.03","/master/welcome",478
"2022-05-29 18:12:44.477","/master/welcome",418
"2022-05-29 18:12:45.092","/master/sign-in",555
"2022-05-29 18:12:46.381","/master/welcome",585
"2022-05-29 18:12:47.19","/inventor/chimpum/list",635
"2022-05-29 18:12:47.867","/inventor/chimpum/create",586
"2022-05-29 18:12:50.135","/inventor/chimpum/create",607
"2022-05-29 18:12:50.697","/master/welcome",511
"2022-05-29 18:12:51.319","/master/welcome",554
"2022-05-29 18:12:53.824","/master/welcome",417
"2022-05-29 18:12:54.259","/master/welcome",401
"2022-05-29 18:12:54.892","/master/sign-in",570
"2022-05-29 18:12:56.161","/master/welcome",577
"2022-05-29 18:12:56.879","/inventor/chimpum/list",564
"2022-05-29 18:12:57.522","/inventor/chimpum/create",559
"2022-05-29 18:12:59.767","/inventor/chimpum/create",579
"2022-05-29 18:13:00.27","/master/welcome",453
"2022-05-29 18:13:00.896","/master/welcome",563
"2022-05-29 18:13:03.419","/master/welcome",425
"2022-05-29 18:13:03.881","/master/welcome",420
"2022-05-29 18:13:04.495","/master/sign-in",552
"2022-05-29 18:13:05.763","/master/welcome",582
"2022-05-29 18:13:06.535","/inventor/chimpum/list",606
"2022-05-29 18:13:07.718","/inventor/chimpum/create",563
"2022-05-29 18:13:09.378","/inventor/chimpum/create",588
"2022-05-29 18:13:09.849","/master/welcome",439
"2022-05-29 18:13:10.464","/master/welcome",553
"2022-05-29 18:13:12.992","/master/welcome",436
"2022-05-29 18:13:13.474","/master/welcome",442
"2022-05-29 18:13:14.137","/master/sign-in",568
"2022-05-29 18:13:15.457","/master/welcome",580
"2022-05-29 18:13:16.174","/inventor/chimpum/list",563
"2022-05-29 18:13:16.846","/inventor/chimpum/create",569
"2022-05-29 18:13:18.512","/inventor/chimpum/create",582
"2022-05-29 18:13:18.98","/master/welcome",417
"2022-05-29 18:13:19.617","/master/welcome",567
"2022-05-29 18:13:22.133","/master/welcome",426
"2022-05-29 18:13:22.596","/master/welcome",424
"2022-05-29 18:13:23.257","/master/sign-in",579
"2022-05-29 18:13:24.543","/master/welcome",581
"2022-05-29 18:13:25.28","/inventor/chimpum/list",573
"2022-05-29 18:13:26.458","/inventor/chimpum/create",557
"2022-05-29 18:13:28.085","/inventor/chimpum/create",583
"2022-05-29 18:13:28.537","/master/welcome",403
"2022-05-29 18:13:29.201","/master/welcome",569
"2022-05-29 18:13:31.803","/master/welcome",489
"2022-05-29 18:13:32.352","/master/welcome",514
"2022-05-29 18:13:32.982","/master/sign-in",570
"2022-05-29 18:13:34.277","/master/welcome",584
"2022-05-29 18:13:35.024","/inventor/chimpum/list",582
"2022-05-29 18:13:36.229","/inventor/chimpum/create",566
"2022-05-29 18:13:37.97","/inventor/chimpum/create",605
"2022-05-29 18:13:38.567","/master/welcome",533
"2022-05-29 18:13:39.197","/master/welcome",566
"2022-05-29 18:13:41.776","/master/welcome",484
"2022-05-29 18:13:42.321","/master/welcome",508
"2022-05-29 18:13:42.944","/master/sign-in",563
"2022-05-29 18:13:44.213","/master/welcome",581
"2022-05-29 18:13:44.931","/inventor/chimpum/list",560
"2022-05-29 18:13:45.582","/inventor/chimpum/create",554
"2022-05-29 18:13:47.842","/inventor/chimpum/create",585
"2022-05-29 18:13:48.364","/master/welcome",459
"2022-05-29 18:13:48.987","/master/welcome",562
