timestamp,test-class,test-method,time,description,result
"2022-05-29 18:07:49.773","acme.testing.inventor.CHIMPUM.InventorCHIMPUMCreateTest","positive",16990,""[1] recordIndex=0, title=Chimpun3, description=A third chimpum, code=PATTERN, startDate=2021/12/31 12:00, finishDate=2022/12/31 15:00, budget=EUR 25.00, link=https://www.prueba.com"","Cannot find 'By.xpath: //a[@class='btn btn-dark' and normalize-space()='See artifacts']'"
"2022-05-29 18:08:00.913","acme.testing.inventor.CHIMPUM.InventorCHIMPUMCreateTest","negative",10559,""[1] recordIndex=0, title=null, description=A third chimpum, code=PATTERN, startDate=2021/12/31 12:00, finishDate=2022/12/31 15:00, budget=EUR 25.00, link=2021/12/01 12:00"","OK"
"2022-05-29 18:08:10.967","acme.testing.inventor.CHIMPUM.InventorCHIMPUMCreateTest","negative",9566,""[2] recordIndex=1, title=Chimpun5, description=null, code=PATTERN, startDate=2021/12/31 12:00, finishDate=2022/12/31 15:00, budget=EUR 25.00, link=2021/12/01 12:00"","OK"
"2022-05-29 18:08:20.057","acme.testing.inventor.CHIMPUM.InventorCHIMPUMCreateTest","negative",8633,""[3] recordIndex=2, title=Chimpun6, description=A third chimpum, code=null, startDate=2021/12/31 12:00, finishDate=2022/12/31 15:00, budget=EUR 25.00, link=2021/12/01 12:00"","OK"
"2022-05-29 18:08:29.255","acme.testing.inventor.CHIMPUM.InventorCHIMPUMCreateTest","negative",8744,""[4] recordIndex=3, title=Chimpun7, description=A third chimpum, code=PATTERN, startDate=null, finishDate=2022/12/31 15:00, budget=EUR 25.00, link=2021/12/01 12:00"","OK"
"2022-05-29 18:08:38.224","acme.testing.inventor.CHIMPUM.InventorCHIMPUMCreateTest","negative",8510,""[5] recordIndex=4, title=Chimpun8, description=A third chimpum, code=PATTERN, startDate=2021/12/31 12:00, finishDate=null, budget=EUR 25.00, link=2021/12/01 12:00"","OK"
"2022-05-29 18:08:47.122","acme.testing.inventor.CHIMPUM.InventorCHIMPUMCreateTest","negative",8421,""[6] recordIndex=5, title=Chimpun9, description=A third chimpum, code=PATTERN, startDate=2021/12/31 12:00, finishDate=2022/12/31 15:00, budget=null, link=2021/12/01 12:00"","OK"
"2022-05-29 18:08:55.64","acme.testing.inventor.CHIMPUM.InventorCHIMPUMCreateTest","negative",8017,""[7] recordIndex=6, title=Chimpun10, description=A third chimpum, code=PATTERN, startDate=2021/12/31 12:00, finishDate=2022/12/31 15:00, budget=EUR 25.00, link=null"","Errors were expected, but not found"
"2022-05-29 18:09:05.165","acme.testing.inventor.CHIMPUM.InventorCHIMPUMCreateTest","negative",9041,""[8] recordIndex=7, title=Chimpun11, description=A third chimpum, code=PATTERN, startDate=2021/12/31 12:00, finishDate=2022/12/31 15:00, budget=EUR 25.00, link=2021/12/01 12:00"","OK"
